"trial","ref_position","var_area","response","correct","rt"
1,"R",10.8019791776314,"L",TRUE,1.59200000762939
2,"L",10.8296926054172,"R",TRUE,0.989000082015991
3,"R",13.7563536097296,"R",FALSE,2.19600009918213
4,"L",10.070430761436,"R",TRUE,1.4909999370575
5,"R",8.7578356503509,"R",TRUE,2.18899989128113
6,"L",8.46568104112521,"L",TRUE,4.29100012779236
7,"R",12.0303553224076,"L",TRUE,1.39300012588501
8,"L",14.6776277464814,"L",FALSE,1.29399991035461
9,"R",12.0356120641809,"R",FALSE,1.19000005722046
10,"L",8.11826988542452,"L",TRUE,1.09400010108948
11,"L",9.22766198450699,"L",FALSE,0.89300012588501
12,"R",13.3240259743761,"L",TRUE,0.594000101089478
13,"R",10.8623890215531,"L",TRUE,0.394999980926514
14,"R",9.3533528863918,"L",TRUE,0.296000003814697
15,"L",12.318488959223,"L",FALSE,0.29200005531311
16,"R",10.2143583260477,"L",TRUE,0.295000076293945
17,"L",8.53589495760389,"L",TRUE,0.698999881744385
18,"R",14.0387814696878,"L",TRUE,0.50600004196167
19,"R",13.1215811031871,"L",TRUE,0.49399995803833
20,"L",8.25237122667022,"L",TRUE,0.698999881744385
21,"R",8.95351921976544,"R",TRUE,0.78600001335144